timestamp,price
1785081600,64672.5
1785085200,64620.0
1785088800,64691.1
1785092400,64640.6
1785096000,64595.0
1785099600,64784.7
1785103200,65346.7
1785106800,65336.6
1785110400,65057.3
1785114000,65139.9
1785117600,65117.5
1785121200,65221.7
1785124800,65240.2
1785128400,65406.9
1785132000,65369.5
1785135600,65164.1
1785139200,65102.7
1785142800,65207.0
1785146400,65278.2
1785150000,65054.7
1785153600,65010.0
1785157200,65157.2
1785160800,64615.4
1785164400,64482.4
1785168000,64831.3
1785171600,64953.6
1785175200,64799.3
1785178800,64902.9
1785182400,64898.3
1785186000,64746.7
1785189600,63750.0
1785193200,63697.1
1785196800,63418.8
1785200400,63164.5
1785204000,63117.6
1785207600,63274.6
1785211200,63272.4
1785214800,63400.1
1785218400,63566.9
1785222000,63434.9
1785225600,63354.0
1785229200,63328.2
1785232800,63402.9
1785236400,63412.2
1785240000,63475.3
1785243600,63033.8
1785247200,63337.3
1785250800,63858.9
1785254400,63969.9
1785258000,63608.7
1785261600,63662.8
1785265200,63801.5
1785268800,63830.6
1785272400,63899.3
1785276000,63707.3
1785279600,63859.6
1785283200,63874.7
1785286800,63627.9
1785290400,63880.1
1785294000,63657.0
1785297600,63883.2
1785301200,63979.6
1785304800,64342.9
1785308400,64481.2
1785312000,64330.9
1785315600,64614.9
1785319200,64393.7
1785322800,64424.9
1785326400,64200.0
1785330000,64581.8
1785333600,64021.4
1785337200,63881.9
1785340800,63725.0
1785344400,64178.0
1785348000,64424.8
1785351600,63514.9
1785355200,63444.2
1785358800,63766.8
1785362400,63859.2
1785366000,63901.0
1785369600,63611.7
1785373200,64172.4
1785376800,64097.6
1785380400,64078.6
1785384000,63935.8
1785387600,63952.8
1785391200,63920.3
1785394800,63906.4
1785398400,64209.1
1785402000,64476.4
1785405600,64486.0
1785409200,64695.4
1785412800,64842.9
1785416400,64972.4
1785420000,64617.8
1785423600,64659.7
1785427200,64758.1
1785430800,64811.0
1785434400,64638.7
1785438000,64742.9
1785441600,64711.8
1785445200,64669.7
1785448800,64787.9
1785452400,64723.0
1785456000,64666.8
1785459600,64502.9
1785463200,64221.5
1785466800,64299.3
1785470400,64235.6
1785474000,64304.8
1785477600,64192.4
1785481200,63890.4
1785484800,63770.0
1785488400,63646.2
1785492000,63851.7
1785495600,63732.6
1785499200,63680.0
1785502800,63204.1
1785506400,62605.7
1785510000,62643.0
1785513600,62803.4
1785517200,63190.1
1785520800,63027.2
1785524400,62895.3
1785528000,62890.9
1785531600,62892.1
1785535200,62887.4
1785538800,62822.0
1785542400,62877.9
1785546000,62899.4
1785549600,63004.5
1785553200,62942.3
1785556800,63037.1
1785560400,62974.4
1785564000,63018.0
1785567600,62990.1
1785571200,63088.4
1785574800,63002.0
1785578400,62998.9
1785582000,63016.2
1785585600,63041.6
1785589200,63008.9
1785592800,63047.1
1785596400,62956.1
1785600000,62857.4
1785603600,62640.2
1785607200,62521.7
1785610800,62477.9
1785614400,62607.8
1785618000,62759.0
1785621600,62775.1
1785625200,62760.0
1785628800,62762.8
1785632400,62920.1
1785636000,63377.8
1785639600,63392.7
1785643200,63514.8
1785646800,63386.5
1785650400,63421.2
1785654000,63427.4
1785657600,63117.8
1785661200,63202.8
1785664800,63127.3
1785668400,62965.8
1785672000,63059.3
1785675600,63047.1
1785679200,63004.1
1785682800,63046.2
1785686400,63111.0
1785690000,63236.0
1785693600,63311.9
1785697200,63378.1
1785700800,63427.2
